name,pname,ra,dec,dist,vmag
HR 219,,0.8180835,57.8165477,19.42,3.46
HR 334,,1.14312879,-10.181928,117.62,3.46
HR 3117,,7.94631715,-52.98240062,386.91,3.46
HR 5681,,15.25836216,33.31510222,116.74,3.46
HR 804,,2.72170126,3.23617162,81.99,3.47
HR 5193,,13.82694662,-42.47368506,526.92,3.47
HR 3975,,10.12220929,16.76266572,2131.79,3.48
HR 6220,,16.71492737,38.92246103,112.05,3.48
HR 509,,1.73475762,-15.93955597,11.9,3.49
HR 2646,,7.02865325,-27.93484165,1217.03,3.49
HR 4377,,11.30798759,33.09423881,421.4,3.49
HR 5602,,15.03244253,40.39063671,218.75,3.49
HR 6897,,18.44956396,-45.96832919,249.36,3.49
HR 8675,,22.80922142,-51.31670354,129.64,3.49
HR 2538,,6.83068485,-32.50848752,789.74,3.5
HR 2777,,7.33538592,21.98233941,58.82,3.5
HR 8694,,22.82803115,66.20071089,115.37,3.5
HR 7635,,19.97927434,19.49209287,274.09,3.51
HR 8684,,22.8333612,24.60168486,116.7,3.51
HR 1136,,3.72082113,-9.76519868,29.5,3.52
HR 3852,,9.68586607,9.89239902,135.23,3.52
HR 3940,,9.94770968,-54.5677973,1929.96,3.52
HR 4826,,12.69468965,-1.449330134,38.59,3.52
HR 7106,,18.83466497,33.36267788,881.52,3.52
HR 7150,,18.96216103,-21.10662433,372.33,3.52
HR 8450,,22.16994993,6.197789,96.58,3.52
HR 1409,,4.47692591,19.18052092,155.02,3.53
HR 3249,,8.2752634,9.18566295,290.44,3.53
HR 4450,,11.55007195,-31.85752405,129.28,3.54
HR 5881,,15.82701825,-3.43014112,155.76,3.54
HR 6561,,17.62645145,-15.39840835,105.45,3.54
HR 1347,,4.29822737,-33.79833145,178.52,3.55
HR 1998,,5.78259715,-14.82194717,70.19,3.55
HR 5354,,14.32339798,-46.05808391,351.85,3.55
HR 6927,,18.35064971,72.73369763,26.28,3.55
HR 7665,,20.14496114,-66.17932101,19.92,3.55
HR 74,,0.32380084,-8.82382948,289.67,3.56
HR 674,,2.27513896,-51.51211145,154.87,3.56
HR 4382,,11.3223674,-14.77904358,194.72,3.56
HR 6252,,16.87226486,-38.01747781,516.9,3.56
HR 2985,,7.74079682,24.39812929,143.49,3.57
HR 3594,,9.06043299,47.15665934,423.04,3.57
HR 5429,,14.53051606,30.37114497,148.8,3.57
HR 5705,,15.36345457,-36.26116729,326.49,3.57
HR 2763,,7.30155744,16.54047526,94.29,3.58
HR 7754,,20.30089401,-12.54485877,108.68,3.58
HR 464,,1.6331951,48.62848641,173.86,3.59
HR 1735,,5.29344415,-6.84438616,554.7,3.59
HR 1983,,5.74110416,-22.44748663,29.25,3.59
HR 4540,,11.8448017,1.76537705,35.55,3.59
HR 4700,,12.35605869,-60.40136988,228.09,3.59
HR 402,,1.40040311,-8.18275372,114.52,3.6
HR 2540,,6.87981668,33.96136985,196.6,3.6
HR 3447,,8.67155811,-52.92197259,494.94,3.6
HR 3786,,9.51169804,-40.46688763,60.52,3.6
HR 5794,,15.61707183,-28.13507099,194.61,3.6
